locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOLKDBPD_00078	CDS	1644	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
NOLKDBPD_00079	CDS	894	yjiE			HTH-type transcriptional regulator YjiE
NOLKDBPD_00080	CDS	720	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
NOLKDBPD_00081	CDS	876	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
NOLKDBPD_00082	CDS	1287				hypothetical protein
NOLKDBPD_00083	CDS	915	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
NOLKDBPD_00084	CDS	1065	livJ_1		COG0683	Leu/Ile/Val/Thr-binding protein
NOLKDBPD_00085	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
NOLKDBPD_00086	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
NOLKDBPD_00087	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
NOLKDBPD_00088	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
NOLKDBPD_00089	CDS	942	tsaR_1			HTH-type transcriptional regulator TsaR
NOLKDBPD_00090	CDS	801				hypothetical protein
NOLKDBPD_00091	CDS	1041				hypothetical protein
NOLKDBPD_00092	CDS	858				hypothetical protein
NOLKDBPD_00093	CDS	747				hypothetical protein
NOLKDBPD_00094	CDS	816			COG1305	putative protein
NOLKDBPD_00095	CDS	930			COG2307	putative protein
NOLKDBPD_00096	CDS	1440			COG2308	putative protein
NOLKDBPD_00097	CDS	1746	treA	3.2.1.28	COG1626	Periplasmic trehalase
NOLKDBPD_00098	CDS	2121	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
NOLKDBPD_00099	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
NOLKDBPD_00100	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
NOLKDBPD_00101	CDS	1734	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
NOLKDBPD_00102	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
NOLKDBPD_00103	CDS	1299	dadA_1	1.4.99.-		D-amino acid dehydrogenase
NOLKDBPD_00104	CDS	1533				hypothetical protein
NOLKDBPD_00105	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
NOLKDBPD_00106	CDS	1551	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
NOLKDBPD_00107	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
NOLKDBPD_00108	CDS	345	yeaR_1		COG3615	putative protein YeaR
NOLKDBPD_00109	CDS	447				hypothetical protein
NOLKDBPD_00110	CDS	660	ycgM		COG0179	putative protein YcgM
NOLKDBPD_00111	CDS	282	ycgL		COG3100	Protein YcgL
NOLKDBPD_00112	CDS	699	minC		COG0850	Septum site-determining protein MinC
NOLKDBPD_00113	CDS	813	minD		COG2894	Septum site-determining protein MinD
NOLKDBPD_00114	CDS	270	minE		COG0851	Cell division topological specificity factor
NOLKDBPD_00115	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
NOLKDBPD_00116	CDS	1719	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NOLKDBPD_00117	CDS	582	slp		COG3065	Outer membrane protein Slp
NOLKDBPD_00118	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NOLKDBPD_00119	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
NOLKDBPD_00120	CDS	345	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
NOLKDBPD_00121	CDS	186				hypothetical protein
NOLKDBPD_00122	CDS	1356	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
NOLKDBPD_00123	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
NOLKDBPD_00124	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
NOLKDBPD_00125	CDS	1578	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
NOLKDBPD_00126	CDS	1560				hypothetical protein
NOLKDBPD_00127	CDS	972	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
NOLKDBPD_00128	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
NOLKDBPD_00129	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
NOLKDBPD_00130	CDS	459				hypothetical protein
NOLKDBPD_00131	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
NOLKDBPD_00132	CDS	795	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
NOLKDBPD_00133	CDS	1746	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
NOLKDBPD_00134	CDS	210	cspC			Cold shock-like protein CspC
NOLKDBPD_00135	CDS	291				hypothetical protein
NOLKDBPD_00136	CDS	240				hypothetical protein
NOLKDBPD_00137	CDS	792	kdgR_1		COG1414	Transcriptional regulator KdgR
NOLKDBPD_00138	CDS	1371	ribZ_1			Riboflavin transporter RibZ
NOLKDBPD_00139	CDS	885	htpX	3.4.24.-	COG0501	Protease HtpX
NOLKDBPD_00140	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
NOLKDBPD_00141	CDS	678	proQ		COG3109	RNA chaperone ProQ
NOLKDBPD_00142	CDS	555	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
NOLKDBPD_00143	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
NOLKDBPD_00144	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
NOLKDBPD_00145	CDS	1377	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
NOLKDBPD_00146	CDS	240	yebV			putative protein YebV
NOLKDBPD_00147	CDS	192				hypothetical protein
NOLKDBPD_00148	CDS	654	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
NOLKDBPD_00149	CDS	1011			COG2990	putative protein
NOLKDBPD_00150	CDS	339				hypothetical protein
NOLKDBPD_00151	CDS	870	yebZ		COG1276	Inner membrane protein YebZ
NOLKDBPD_00152	CDS	375	yobA		COG2372	Protein YobA
NOLKDBPD_00153	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
NOLKDBPD_00154	CDS	660	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
NOLKDBPD_00155	CDS	2028	ptrB	3.4.21.83	COG1770	Protease 2
NOLKDBPD_00156	CDS	660	yebE		COG2979	Inner membrane protein YebE
NOLKDBPD_00157	CDS	348				hypothetical protein
NOLKDBPD_00158	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
NOLKDBPD_00159	CDS	642	eda		COG0800	KHG/KDPG aldolase
NOLKDBPD_00160	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
NOLKDBPD_00161	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
NOLKDBPD_00162	CDS	888	hexR_1		COG1737	HTH-type transcriptional regulator HexR
NOLKDBPD_00163	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
NOLKDBPD_00164	CDS	975	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
NOLKDBPD_00165	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
NOLKDBPD_00166	CDS	945	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
NOLKDBPD_00167	CDS	753	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
NOLKDBPD_00168	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NOLKDBPD_00169	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NOLKDBPD_00170	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
NOLKDBPD_00171	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
NOLKDBPD_00172	CDS	498	yebC_1		COG0217	putative transcriptional regulatory protein YebC
NOLKDBPD_00173	CDS	273	yebC_2			transcriptional regulatory protein YebC
NOLKDBPD_00174	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
NOLKDBPD_00175	CDS	1788	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
NOLKDBPD_00176	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
NOLKDBPD_00177	CDS	819				hypothetical protein
NOLKDBPD_00178	CDS	396	yecN		COG3788	Inner membrane protein YecN
NOLKDBPD_00179	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
NOLKDBPD_00180	CDS	1005	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
NOLKDBPD_00181	CDS	744	cutC_1		COG3142	Copper homeostasis protein CutC
NOLKDBPD_00182	CDS	570	yecM		COG3102	Protein YecM
NOLKDBPD_00183	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
NOLKDBPD_00184	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
NOLKDBPD_00185	CDS	1584	yagG_1		COG2211	Putative glycoside/cation symporter YagG
NOLKDBPD_00186	CDS	429	uspC		COG0589	Universal stress protein C
NOLKDBPD_00187	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
NOLKDBPD_00188	CDS	789	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
NOLKDBPD_00189	CDS	981	araH		COG1172	L-arabinose transport system permease protein AraH
NOLKDBPD_00190	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
NOLKDBPD_00191	CDS	981	araF		COG1879	L-arabinose-binding periplasmic protein
NOLKDBPD_00192	CDS	510	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
NOLKDBPD_00193	CDS	1563	yagG_2		COG2211	Putative glycoside/cation symporter YagG
NOLKDBPD_00194	CDS	252				hypothetical protein
NOLKDBPD_00195	CDS	1422	hsrA_1			putative transport protein HsrA
NOLKDBPD_00196	CDS	639				hypothetical protein
NOLKDBPD_00197	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
NOLKDBPD_00198	CDS	240				hypothetical protein
NOLKDBPD_00199	CDS	1143	tyrP		COG0814	Tyrosine-specific transport protein
NOLKDBPD_00200	CDS	669				hypothetical protein
NOLKDBPD_00201	CDS	882	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
NOLKDBPD_00202	tRNA	87				tRNA-Leu(taa)
NOLKDBPD_00203	tRNA	74				tRNA-Cys(gca)
NOLKDBPD_00204	tRNA	76				tRNA-Gly(gcc)
NOLKDBPD_00205	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NOLKDBPD_00206	CDS	1833	uvrC		COG0322	UvrABC system protein C
NOLKDBPD_00207	CDS	657	uvrY		COG2197	Response regulator UvrY
NOLKDBPD_00208	CDS	225				hypothetical protein
NOLKDBPD_00209	CDS	723	sdiA		COG2771	Regulatory protein SdiA
NOLKDBPD_00210	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
NOLKDBPD_00211	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
NOLKDBPD_00212	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
NOLKDBPD_00213	CDS	768	fliY_1		COG0834	L-cystine-binding protein FliY
NOLKDBPD_00214	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
NOLKDBPD_00215	CDS	432				hypothetical protein
NOLKDBPD_00216	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
NOLKDBPD_00217	CDS	192	dsrB			Protein DsrB
NOLKDBPD_00218	CDS	225				hypothetical protein
NOLKDBPD_00219	CDS	1680	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
NOLKDBPD_00220	CDS	912	yedI		COG2354	Inner membrane protein YedI
NOLKDBPD_00221	CDS	912	yedA			putative inner membrane transporter YedA
NOLKDBPD_00222	CDS	498	vsr	3.1.-.-	COG3727	Very short patch repair protein
NOLKDBPD_00223	CDS	1401	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
NOLKDBPD_00224	CDS	708	yedJ		COG1418	putative protein YedJ
NOLKDBPD_00225	CDS	282	yedR			Inner membrane protein YedR
NOLKDBPD_00226	CDS	1146	ompN_1		COG3203	Outer membrane porin N
NOLKDBPD_00227	CDS	213				hypothetical protein
NOLKDBPD_00228	CDS	759				hypothetical protein
NOLKDBPD_00229	CDS	876				hypothetical protein
NOLKDBPD_00230	CDS	105				hypothetical protein
NOLKDBPD_00231	CDS	174				hypothetical protein
NOLKDBPD_00232	CDS	201				hypothetical protein
NOLKDBPD_00233	tRNA	88				tRNA-Ser(gga)
NOLKDBPD_00234	CDS	678	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
NOLKDBPD_00235	CDS	861				hypothetical protein
NOLKDBPD_00236	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
NOLKDBPD_00237	tRNA	88				tRNA-Ser(gga)
NOLKDBPD_00238	CDS	939	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NOLKDBPD_00239	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
NOLKDBPD_00240	CDS	555	ycdY		COG3381	Chaperone protein YcdY
NOLKDBPD_00241	CDS	483	ycdZ			Inner membrane protein YcdZ
NOLKDBPD_00242	CDS	528	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
NOLKDBPD_00243	CDS	594	betI_1			HTH-type transcriptional regulator BetI
NOLKDBPD_00244	CDS	1161	mdoC	2.1.-.-		Glucans biosynthesis protein C
NOLKDBPD_00245	CDS	1554	mdoG		COG3131	Glucans biosynthesis protein G
NOLKDBPD_00246	CDS	2529	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
NOLKDBPD_00247	CDS	228				hypothetical protein
NOLKDBPD_00248	CDS	387				hypothetical protein
NOLKDBPD_00249	CDS	1227	sbnD_1			Staphyloferrin B transporter
NOLKDBPD_00250	CDS	921	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
NOLKDBPD_00251	CDS	1065				hypothetical protein
NOLKDBPD_00252	CDS	114	yceO			putative protein YceO
NOLKDBPD_00253	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
NOLKDBPD_00254	CDS	255	bssS			Biofilm regulator BssS
NOLKDBPD_00255	CDS	252	dinI_1			DNA damage-inducible protein I
NOLKDBPD_00256	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
NOLKDBPD_00257	CDS	561	yceB			putative lipoprotein YceB
NOLKDBPD_00258	CDS	1209	mdtH_1			Multidrug resistance protein MdtH
NOLKDBPD_00259	CDS	624	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
NOLKDBPD_00260	CDS	765				hypothetical protein
NOLKDBPD_00261	CDS	858	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
NOLKDBPD_00262	CDS	1536	murJ		COG0728	putative lipid II flippase MurJ
NOLKDBPD_00263	CDS	1215	sotB_1			sugar efflux transporter
NOLKDBPD_00264	CDS	936	dmlR_2			HTH-type transcriptional regulator DmlR
NOLKDBPD_00265	CDS	252				hypothetical protein
NOLKDBPD_00266	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
NOLKDBPD_00267	CDS	963	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NOLKDBPD_00268	CDS	927	coaA	2.7.1.33		Pantothenate kinase
NOLKDBPD_00269	tRNA	76				tRNA-Thr(tgt)
NOLKDBPD_00270	tRNA	85				tRNA-Tyr(gta)
NOLKDBPD_00271	tRNA	75				tRNA-Gly(tcc)
NOLKDBPD_00272	tRNA	76				tRNA-Thr(ggt)
NOLKDBPD_00273	CDS	1110				hypothetical protein
NOLKDBPD_00274	CDS	1797				Tn3 family transposase TnAs1
NOLKDBPD_00275	CDS	885				hypothetical protein
NOLKDBPD_00276	CDS	1200	tetA			Tetracycline resistance protein, class C
NOLKDBPD_00277	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721
NOLKDBPD_00278	CDS	243				hypothetical protein
NOLKDBPD_00279	CDS	1725				Tn3 family transposase TnAs1
NOLKDBPD_00280	CDS	1152			COG2826	IS30 family transposase IS30
NOLKDBPD_00281	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
NOLKDBPD_00282	CDS	504	eis	2.3.1.-		N-acetyltransferase Eis
NOLKDBPD_00283	CDS	321				hypothetical protein
NOLKDBPD_00284	CDS	444				hypothetical protein
NOLKDBPD_00285	CDS	537	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
NOLKDBPD_00286	CDS	648				hypothetical protein
NOLKDBPD_00287	CDS	1041				hypothetical protein
NOLKDBPD_00288	CDS	576	osmY_1		COG2823	Osmotically-inducible protein Y
NOLKDBPD_00289	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
NOLKDBPD_00290	CDS	387				hypothetical protein
NOLKDBPD_00291	CDS	2109	lpoA		COG3107	Penicillin-binding protein activator LpoA
NOLKDBPD_00292	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
NOLKDBPD_00293	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
NOLKDBPD_00294	CDS	150				hypothetical protein
NOLKDBPD_00295	CDS	1332	garP_1			putative galactarate transporter
NOLKDBPD_00296	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
NOLKDBPD_00297	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
NOLKDBPD_00298	CDS	1146	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
NOLKDBPD_00299	CDS	108				hypothetical protein
NOLKDBPD_00300	CDS	465				hypothetical protein
NOLKDBPD_00301	CDS	411				hypothetical protein
NOLKDBPD_00302	CDS	168				hypothetical protein
NOLKDBPD_00303	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
NOLKDBPD_00304	CDS	897	yhaJ_1			HTH-type transcriptional regulator YhaJ
NOLKDBPD_00305	CDS	369	yhaH		COG3152	Inner membrane protein YhaH
NOLKDBPD_00306	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
NOLKDBPD_00307	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
NOLKDBPD_00308	CDS	297				hypothetical protein
NOLKDBPD_00309	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
NOLKDBPD_00310	CDS	306	yqjD		COG4575	putative protein YqjD
NOLKDBPD_00311	CDS	369	yqjC			Protein YqjC
NOLKDBPD_00312	CDS	387	mzrA			Modulator protein MzrA
NOLKDBPD_00313	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
NOLKDBPD_00314	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
NOLKDBPD_00315	CDS	1302	exuT_1			Hexuronate transporter
NOLKDBPD_00316	CDS	1413	uxaC	5.3.1.12	COG1904	Uronate isomerase
NOLKDBPD_00317	CDS	1488	uxaA	4.2.1.7	COG2721	Altronate dehydratase
NOLKDBPD_00318	CDS	555	ygjV			Inner membrane protein YgjV
NOLKDBPD_00319	CDS	1248	sstT		COG3633	Serine/threonine transporter SstT
NOLKDBPD_00320	CDS	972	alx		COG0861	Putative membrane-bound redox modulator Alx
NOLKDBPD_00321	CDS	990	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
NOLKDBPD_00322	CDS	501	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
NOLKDBPD_00323	CDS	603				hypothetical protein
NOLKDBPD_00324	CDS	708				hypothetical protein
NOLKDBPD_00325	CDS	1131	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
NOLKDBPD_00326	CDS	2022	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
NOLKDBPD_00327	CDS	1599	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
NOLKDBPD_00328	CDS	972	lsrR		COG2390	Transcriptional regulator LsrR
NOLKDBPD_00329	CDS	1488	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
NOLKDBPD_00330	CDS	1035	lsrC		COG1172	Autoinducer 2 import system permease protein LsrC
NOLKDBPD_00331	CDS	999	lsrD_1			Autoinducer 2 import system permease protein LsrD
NOLKDBPD_00332	CDS	1002	lsrB_1			Autoinducer 2-binding protein LsrB
NOLKDBPD_00333	CDS	888	lsrF_1	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
NOLKDBPD_00334	CDS	297	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
NOLKDBPD_00335	CDS	1380	patA	2.6.1.82	COG4992	Putrescine aminotransferase
NOLKDBPD_00336	CDS	555	yqjI		COG1695	Transcriptional regulator YqjI
NOLKDBPD_00337	CDS	777	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
NOLKDBPD_00338	CDS	1650	dhaK_1	2.7.1.29		Dihydroxyacetone kinase
NOLKDBPD_00339	CDS	1050	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
NOLKDBPD_00340	CDS	1152			COG2826	IS30 family transposase IS30
NOLKDBPD_00341	CDS	654				IS3 family transposase ISLad1
NOLKDBPD_00342	CDS	1287				hypothetical protein
NOLKDBPD_00343	CDS	2058				hypothetical protein
NOLKDBPD_00344	CDS	426				hypothetical protein
NOLKDBPD_00345	CDS	384				hypothetical protein
